fold,model,antibiotic,F1,AUC,MCC,n_test,n_pos
4,LR_comb,ampicillin,0.47058823529411764,0.629254000450755,0.16024340770791076,138,51
4,LR_comb,amoxicillin/clavulanic acid,0.3888888888888889,0.5316239316239316,0.09894548898363074,54,15
4,LR_comb,cefotaxime,0.4,0.7721804511278194,0.3081111588460128,159,19
4,LR_comb,ceftazidime,0.375,0.7545751633986927,0.28285992916635455,173,20
4,LR_comb,cefuroxime,0.3225806451612903,0.7815384615384615,0.24339479378373244,138,13
4,LR_comb,ciprofloxacin,0.4657534246575342,0.7629310344827587,0.3419895214217327,173,29
4,LR_comb,gentamicin,0.21621621621621623,0.60062893081761,0.13351485748762768,173,14
4,LR_comb,piperacillin/tazobactam,0.29411764705882354,0.7282608695652174,0.23723081283919975,173,12
4,LR_comb,meropenem,0.4,0.8850574712643678,0.39843023739448435,148,3
4,XGB_comb,ampicillin,0.45977011494252873,0.5981519044399368,0.2289158798257865,138,51
4,XGB_comb,amoxicillin/clavulanic acid,0.18181818181818182,0.6136752136752137,0.006838256275499513,54,15
4,XGB_comb,cefotaxime,0.23076923076923078,0.6766917293233083,0.20447810434171476,159,19
4,XGB_comb,ceftazidime,0.16,0.5977124183006536,0.15343864365584955,173,20
4,XGB_comb,cefuroxime,0.0,0.5612307692307692,-0.027552206582980625,138,13
4,XGB_comb,ciprofloxacin,0.38095238095238093,0.7488026819923372,0.34167842623872263,173,29
4,XGB_comb,gentamicin,0.0,0.6248876909254267,-0.03941863872334168,173,14
4,XGB_comb,piperacillin/tazobactam,0.2857142857142857,0.6677018633540373,0.3961313897846389,173,12
4,XGB_comb,meropenem,0.5,0.8022988505747126,0.573409265656776,148,3
4,RF_comb,ampicillin,0.3684210526315789,0.5729096236195629,0.18557156447874762,138,51
4,RF_comb,amoxicillin/clavulanic acid,0.21052631578947367,0.5675213675213675,0.14032928308912468,54,15
4,RF_comb,cefotaxime,0.2727272727272727,0.5522556390977443,0.376431142253533,159,19
4,RF_comb,ceftazidime,0.2608695652173913,0.5483660130718954,0.3674234614174767,173,20
4,RF_comb,cefuroxime,0.0,0.5310769230769231,0.0,138,13
4,RF_comb,ciprofloxacin,0.1875,0.6906130268199233,0.2960182001969983,173,29
4,RF_comb,gentamicin,0.125,0.5768194070080863,0.16618520961141947,173,14
4,RF_comb,piperacillin/tazobactam,0.4,0.6402691511387164,0.48658473658999307,173,12
4,RF_comb,meropenem,0.5,0.8160919540229885,0.573409265656776,148,3
